AlphaScale,Alpha,Kct,Avg_KE
3,10,18.4,0.0220857537384997
3,10,18.5,0.0223207527315923
3,10,18.6,0.0225591918327898
3,10,18.7,0.0228010444559285
3,10,18.8,0.0230462847546251
3,10,18.9,0.0232948876010964
3,10,19,0.0235468285657414
3,10,19.1,0.0238020838974799
3,10,19.2,0.0240606305048058
3,10,19.3,0.0243224459375524
3,10,19.4,0.0245875083693153
3,10,19.5,0.0248557965805241
3,10,19.6,0.0251272899421544
3,10,19.7,0.0254019684000317
3,10,19.8,0.0256798124597244
3,10,19.9,0.0259608031720109
3,10,20,0.0262449221188592
3.2,10.6666666666667,10,0.0207051741299923
3.2,10.6666666666667,10.1,0.0203715002230183
3.2,10.6666666666667,10.2,0.0200530732558276
3.2,10.6666666666667,10.3,0.0197494994927105
3.2,10.6666666666667,10.4,0.0194604009730737
3.2,10.6666666666667,10.5,0.0191854148523665
3.2,10.6666666666667,10.6,0.0189241927753342
3.2,10.6666666666667,10.7,0.0186764002798277
3.2,10.6666666666667,10.8,0.0184417162295284
3.2,10.6666666666667,10.9,0.0182198322740259
3.2,10.6666666666667,11,0.01801045233479
3.2,10.6666666666667,11.1,0.0178132921156637
3.2,10.6666666666667,11.2,0.0176280786365863
3.2,10.6666666666667,11.3,0.0174545497893348
3.2,10.6666666666667,11.4,0.0172924539141272
3.2,10.6666666666667,11.5,0.0171415493960298
3.2,10.6666666666667,11.6,0.0170016042801453
3.2,10.6666666666667,11.7,0.016872395904614
3.2,10.6666666666667,11.8,0.0167537105505533
3.2,10.6666666666667,11.9,0.0166453431080676
3.2,10.6666666666667,12,0.0165470967575363
3.2,10.6666666666667,12.1,0.0164587826654222
3.2,10.6666666666667,12.2,0.0163802196938943
3.2,10.6666666666667,12.3,0.016311234123589
3.2,10.6666666666667,12.4,0.0162516593888787
3.2,10.6666666666667,12.5,0.0162013358250457
3.2,10.6666666666667,12.6,0.0161601104268103
3.2,10.6666666666667,12.7,0.0161278366176648
3.2,10.6666666666667,12.8,0.0161043740295213
3.2,10.6666666666667,12.9,0.0160895882921997
3.2,10.6666666666667,13,0.0160833508323023
3.2,10.6666666666667,13.1,0.0160855386810634
3.2,10.6666666666667,13.2,0.0160960342907565
3.2,10.6666666666667,13.3,0.0161147253593148
3.2,10.6666666666667,13.4,0.0161415046627751
3.2,10.6666666666667,13.5,0.0161762698952437
3.2,10.6666666666667,13.6,0.0162189235160423
3.2,10.6666666666667,13.7,0.0162693726037609
3.2,10.6666666666667,13.8,0.016327528716926
3.2,10.6666666666667,13.9,0.0163933077610187
3.2,10.6666666666667,14,0.016466629861614
3.2,10.6666666666667,14.1,0.0165474192433895
3.2,10.6666666666667,14.2,0.0166356041148012
3.2,10.6666666666667,14.3,0.0167311165582149
3.2,10.6666666666667,14.4,0.0168338924253174
3.2,10.6666666666667,14.5,0.0169438712376049
3.2,10.6666666666667,14.6,0.0170609960918198
3.2,10.6666666666667,14.7,0.0171852135701478
3.2,10.6666666666667,14.8,0.0173164736550629
3.2,10.6666666666667,14.9,0.0174547296486662
3.2,10.6666666666667,15,0.0175999380964252
3.2,10.6666666666667,15.1,0.0177520587151895
3.2,10.6666666666667,15.2,0.0179110543253681
3.2,10.6666666666667,15.3,0.0180768907872308
3.2,10.6666666666667,15.4,0.0182495369411983
3.2,10.6666666666667,15.5,0.0184289645520945
3.2,10.6666666666667,15.6,0.0186151482572704
3.2,10.6666666666667,15.7,0.0188080655185894
3.2,10.6666666666667,15.8,0.0190076965781994
3.2,10.6666666666667,15.9,0.019214024418066
3.2,10.6666666666667,16,0.0194270347232896
3.2,10.6666666666667,16.1,0.0196467158491251
3.2,10.6666666666667,16.2,0.0198730587917675
3.2,10.6666666666667,16.3,0.0201060571629061
3.2,10.6666666666667,16.4,0.0203457071680048
3.2,10.6666666666667,16.5,0.0205920075884402
3.2,10.6666666666667,16.6,0.0208449597674593
3.2,10.6666666666667,16.7,0.021104567600059
3.2,10.6666666666667,16.8,0.0213708375268339
3.2,10.6666666666667,16.9,0.0216437785318737
3.2,10.6666666666667,17,0.0219234021448127
3.2,10.6666666666667,17.1,0.0222097224471401
3.2,10.6666666666667,17.2,0.0225027560828838
3.2,10.6666666666667,17.3,0.0228025222738059
3.2,10.6666666666667,17.4,0.0231090428392928
3.2,10.6666666666667,17.5,0.0234223422210849
3.2,10.6666666666667,17.6,0.0237424475130243
3.2,10.6666666666667,17.7,0.0240693884961285
3.2,10.6666666666667,17.8,0.0244031976790899
3.2,10.6666666666667,17.9,0.0247439103445989
3.2,10.6666666666667,18,0.02509156460168
3.2,10.6666666666667,18.1,0.0254462014444217
3.2,10.6666666666667,18.2,0.0258078648174532
3.2,10.6666666666667,18.3,0.0261766016884828
3.2,10.6666666666667,18.4,0.0265524621284353
3.2,10.6666666666667,18.5,0.0269354993995589
3.2,10.6666666666667,18.6,0.0273257700520756
3.2,10.6666666666667,18.7,0.027723334029912
3.2,10.6666666666667,18.8,0.0281282547861261
3.2,10.6666666666667,18.9,0.0285405994087481
3.2,10.6666666666667,19,0.0289604387577416
3.2,10.6666666666667,19.1,0.0293878476139263
3.2,10.6666666666667,19.2,0.029822904840807
3.2,10.6666666666667,19.3,0.0302656935602254
3.2,10.6666666666667,19.4,0.030716301343042
3.2,10.6666666666667,19.5,0.031174820415983
3.2,10.6666666666667,19.6,0.0316413478860611
3.2,10.6666666666667,19.7,0.0321159859839985
3.2,10.6666666666667,19.8,0.0325988423283521
3.2,10.6666666666667,19.9,0.0330900302121744
3.2,10.6666666666667,20,0.0335896689141429
3.4,11.3333333333333,10,0.0207643915217558
3.4,11.3333333333333,10.1,0.0204292541692017
3.4,11.3333333333333,10.2,0.0201100631418334
3.4,11.3333333333333,10.3,0.0198064468896792
3.4,11.3333333333333,10.4,0.0195180503542509
3.4,11.3333333333333,10.5,0.0192445343390654
3.4,11.3333333333333,10.6,0.0189855749131121
